Frame,Relative_Level
0,3.0
1,22.0
2,1.0
3,10.0
4,-45.0
5,7.0
6,-158.0
7,23.0
8,12.0
9,16.0
10,6.0
11,-2.0
12,7.0
13,10.0
14,12.0
15,-8.0
16,-4.0
17,-1.0
18,15.0
19,10.0
20,3.0
21,-116.0
22,-115.0
23,-4.0
24,-10.0
25,-124.0
26,-8.0
27,-119.0
28,-122.0
29,-2.0
30,136.0
31,127.0
32,-25.0
33,13.0
34,-9.0
35,3.0
36,-47.0
37,-1.0
38,4.0
39,22.0
40,150.0
41,158.0
42,30.0
43,82.0
44,49.0
45,1.0
46,77.0
47,38.0
48,15.0
49,-14.0
50,31.0
51,32.0
52,8.0
53,-11.0
54,34.0
55,-7.0
56,2.0
57,-5.0
58,-17.0
59,-8.0
60,-13.0
61,-6.0
62,-10.0
63,2.0
64,-10.0
65,-12.0
66,-9.0
67,-4.0
68,7.0
69,1.0
70,-2.0
71,0.0
72,-2.0
73,9.0
74,5.0
75,7.0
76,6.0
77,14.0
78,13.0
79,6.0
80,10.0
81,13.0
82,15.0
83,15.0
84,28.0
85,27.0
86,45.0
87,4.0
88,-23.0
89,-402.0
90,16.0
91,53.0
92,62.0
93,102.0
94,98.0
95,76.0
96,37.0
97,86.0
98,48.0
99,31.0
100,24.0
101,17.0
102,14.0
103,19.0
104,20.0
105,16.0
106,16.0
107,26.0
108,25.0
109,21.0
110,22.0
111,28.0
112,25.0
113,15.0
114,16.0
115,16.0
116,14.0
117,15.0
118,19.0
119,22.0
120,26.0
121,24.0
122,23.0
123,21.0
124,21.0
125,21.0
126,35.0
127,43.0
128,33.0
129,37.0
130,24.0
131,41.0
132,41.0
133,38.0
134,41.0
135,40.0
136,39.0
137,43.0
138,35.0
139,44.0
140,40.0
141,42.0
142,46.0
143,44.0
144,38.0
145,14.0
146,29.0
147,38.0
148,41.0
149,35.0
150,45.0
151,20.0
152,28.0
153,38.0
154,42.0
155,32.0
156,42.0
157,35.0
158,40.0
159,44.0
160,37.0
161,42.0
162,5.0
163,55.0
164,35.0
165,66.0
166,59.0
167,65.0
168,47.0
169,69.0
170,50.0
171,69.0
172,41.0
173,57.0
174,42.0
175,60.0
176,60.0
177,49.0
178,42.0
179,13.0
180,34.0
181,58.0
182,39.0
183,95.0
184,83.0
185,26.0
186,52.0
187,48.0
188,49.0
189,49.0
190,36.0
191,43.0
192,43.0
193,45.0
194,46.0
195,55.0
196,50.0
197,46.0
198,50.0
199,48.0
200,47.0
201,46.0
202,37.0
203,41.0
204,44.0
205,46.0
206,47.0
207,54.0
208,52.0
209,52.0
210,51.0
211,61.0
212,33.0
213,-4.0
214,55.0
215,75.0
216,20.0
217,58.0
218,131.0
219,78.0
220,158.0
221,122.0
222,98.0
223,41.0
224,31.0
225,36.0
226,-30.0
227,99.0
228,146.0
229,125.0
230,61.0
231,83.0
232,67.0
233,43.0
234,38.0
235,39.0
236,41.0
237,42.0
238,39.0
239,45.0
240,46.0
241,56.0
242,47.0
243,48.0
244,56.0
245,56.0
246,57.0
247,56.0
248,53.0
249,56.0
250,58.0
251,56.0
252,62.0
253,54.0
254,56.0
255,47.0
256,53.0
257,9.0
258,75.0
259,88.0
260,47.0
261,97.0
262,42.0
263,37.0
264,37.0
265,37.0
266,43.0
267,41.0
268,45.0
269,55.0
270,46.0
271,49.0
272,50.0
273,49.0
274,50.0
275,46.0
276,47.0
277,44.0
278,40.0
279,35.0
280,4.0
281,-8.0
282,34.0
283,70.0
284,64.0
285,53.0
286,22.0
287,38.0
288,27.0
289,16.0
290,25.0
291,31.0
292,34.0
293,31.0
294,38.0
295,27.0
296,6.0
297,16.0
298,22.0
299,28.0
300,31.0
301,31.0
302,31.0
303,33.0
304,39.0
305,38.0
306,37.0
307,37.0
308,37.0
309,36.0
310,21.0
311,-23.0
312,5.0
313,113.0
314,283.0
315,43.0
316,54.0
317,19.0
318,165.0
319,94.0
320,66.0
321,90.0
322,86.0
323,98.0
324,45.0
325,35.0
326,14.0
327,20.0
328,59.0
329,78.0
330,20.0
331,7.0
332,12.0
333,3.0
334,-23.0
335,25.0
336,51.0
337,74.0
338,134.0
339,49.0
340,121.0
341,93.0
342,53.0
343,35.0
344,31.0
345,13.0
346,9.0
347,22.0
348,-3.0
349,30.0
350,48.0
351,38.0
352,32.0
353,42.0
354,43.0
355,138.0
356,31.0
357,28.0
358,68.0
359,-1.0
360,38.0
361,46.0
362,22.0
363,21.0
364,43.0
365,-16.0
366,28.0
367,27.0
368,21.0
369,18.0
370,4.0
371,47.0
372,42.0
373,8.0
374,43.0
375,56.0
376,44.0
377,44.0
378,59.0
379,19.0
380,36.0
381,52.0
382,50.0
383,40.0
384,54.0
385,50.0
386,63.0
387,56.0
388,66.0
389,64.0
390,0.0
391,40.0
392,-4.0
393,76.0
394,31.0
395,36.0
396,29.0
397,76.0
398,29.0
399,50.0
400,32.0
401,40.0
402,43.0
403,53.0
404,64.0
405,56.0
406,28.0
407,62.0
408,62.0
409,68.0
410,29.0
411,52.0
412,74.0
413,71.0
414,60.0
415,47.0
416,82.0
417,89.0
418,76.0
419,52.0
420,64.0
421,82.0
422,19.0
423,50.0
424,28.0
425,40.0
426,20.0
427,48.0
428,60.0
429,52.0
430,55.0
431,60.0
432,61.0
433,82.0
434,30.0
435,24.0
436,46.0
437,25.0
438,30.0
439,25.0
440,38.0
441,64.0
442,80.0
443,57.0
444,14.0
445,68.0
446,44.0
447,46.0
448,31.0
449,15.0
450,41.0
451,14.0
452,42.0
453,54.0
454,55.0
455,54.0
456,48.0
457,40.0
458,-23.0
459,-2.0
460,89.0
461,72.0
462,327.0
463,404.0
464,185.0
465,61.0
466,24.0
467,112.0
468,160.0
469,7.0
470,157.0
471,22.0
472,21.0
473,95.0
474,46.0
475,42.0
476,17.0
477,108.0
